source_file,material_name,material_abbreviation,section,property_name,value,unit,english,test_condition,comments,source_file_excel
MaterialData_233615.pdf,Solvay CYCOMÂ® 759F Epoxy - 2X2 Twill Fabric 44%-3KT300-2X2T-199 Reinforced Prepreg,Epoxy + 44% Carbon fiber,Physical Properties,Density,1.23,g/cc,0.0444 lb/inÂ³,,Cured Resin,combined_material_data_1.xlsx
MaterialData_233615.pdf,Solvay CYCOMÂ® 759F Epoxy - 2X2 Twill Fabric 44%-3KT300-2X2T-199 Reinforced Prepreg,Epoxy + 44% Carbon fiber,Physical Properties,Storage Temperature,<= -18.0,Â°C,<= -0.400 Â°F,,,combined_material_data_1.xlsx
MaterialData_233615.pdf,Solvay CYCOMÂ® 759F Epoxy - 2X2 Twill Fabric 44%-3KT300-2X2T-199 Reinforced Prepreg,Epoxy + 44% Carbon fiber,Mechanical Properties,Tensile Strength,552,MPa,80000 psi,,"0Â°, Actual 47.1% VF",combined_material_data_1.xlsx
MaterialData_233615.pdf,Solvay CYCOMÂ® 759F Epoxy - 2X2 Twill Fabric 44%-3KT300-2X2T-199 Reinforced Prepreg,Epoxy + 44% Carbon fiber,Mechanical Properties,Tensile Strength,641,MPa,93000 psi,,"0Â°, Normalized 55% VF",combined_material_data_1.xlsx
MaterialData_233615.pdf,Solvay CYCOMÂ® 759F Epoxy - 2X2 Twill Fabric 44%-3KT300-2X2T-199 Reinforced Prepreg,Epoxy + 44% Carbon fiber,Mechanical Properties,Tensile Modulus,55,GPa,7980 ksi,,"0Â°, Actual 47.1% VF",combined_material_data_1.xlsx
MaterialData_233615.pdf,Solvay CYCOMÂ® 759F Epoxy - 2X2 Twill Fabric 44%-3KT300-2X2T-199 Reinforced Prepreg,Epoxy + 44% Carbon fiber,Mechanical Properties,Tensile Modulus,64,GPa,9280 ksi,,"0Â°, Normalized 55% VF",combined_material_data_1.xlsx
MaterialData_233615.pdf,Solvay CYCOMÂ® 759F Epoxy - 2X2 Twill Fabric 44%-3KT300-2X2T-199 Reinforced Prepreg,Epoxy + 44% Carbon fiber,Mechanical Properties,Flexural Strength,820,MPa,119000 psi,,"0Â°, Actual 47.1% VF",combined_material_data_1.xlsx
MaterialData_233615.pdf,Solvay CYCOMÂ® 759F Epoxy - 2X2 Twill Fabric 44%-3KT300-2X2T-199 Reinforced Prepreg,Epoxy + 44% Carbon fiber,Mechanical Properties,Flexural Strength,958,MPa,139000 psi,,"0Â°, Normalized 55% VF",combined_material_data_1.xlsx
MaterialData_233615.pdf,Solvay CYCOMÂ® 759F Epoxy - 2X2 Twill Fabric 44%-3KT300-2X2T-199 Reinforced Prepreg,Epoxy + 44% Carbon fiber,Mechanical Properties,Flexural Modulus,56,GPa,8120 ksi,,"0Â°, Actual 47.1% VF",combined_material_data_1.xlsx
MaterialData_233615.pdf,Solvay CYCOMÂ® 759F Epoxy - 2X2 Twill Fabric 44%-3KT300-2X2T-199 Reinforced Prepreg,Epoxy + 44% Carbon fiber,Mechanical Properties,Flexural Modulus,66,GPa,9570 ksi,,"0Â°, Normalized 55% VF",combined_material_data_1.xlsx
MaterialData_233615.pdf,Solvay CYCOMÂ® 759F Epoxy - 2X2 Twill Fabric 44%-3KT300-2X2T-199 Reinforced Prepreg,Epoxy + 44% Carbon fiber,Mechanical Properties,Compressive Strength,789,MPa,114000 psi,,"0Â°, Actual 47.1% VF",combined_material_data_1.xlsx
MaterialData_233615.pdf,Solvay CYCOMÂ® 759F Epoxy - 2X2 Twill Fabric 44%-3KT300-2X2T-199 Reinforced Prepreg,Epoxy + 44% Carbon fiber,Mechanical Properties,Compressive Strength,921,MPa,134000 psi,,"0Â°, Normalized 55% VF",combined_material_data_1.xlsx
MaterialData_233615.pdf,Solvay CYCOMÂ® 759F Epoxy - 2X2 Twill Fabric 44%-3KT300-2X2T-199 Reinforced Prepreg,Epoxy + 44% Carbon fiber,Mechanical Properties,Compressive Modulus,50,GPa,7250 ksi,,"0Â°, Actual 47.1% VF",combined_material_data_1.xlsx
MaterialData_233615.pdf,Solvay CYCOMÂ® 759F Epoxy - 2X2 Twill Fabric 44%-3KT300-2X2T-199 Reinforced Prepreg,Epoxy + 44% Carbon fiber,Mechanical Properties,Compressive Modulus,58,GPa,8410 ksi,,"0Â°, Normalized 55% VF",combined_material_data_1.xlsx
MaterialData_233615.pdf,Solvay CYCOMÂ® 759F Epoxy - 2X2 Twill Fabric 44%-3KT300-2X2T-199 Reinforced Prepreg,Epoxy + 44% Carbon fiber,Mechanical Properties,Shear Strength,81.4,MPa,11800 psi,,"Interlaminar, Actual 47.1% VF",combined_material_data_1.xlsx
MaterialData_233615.pdf,Solvay CYCOMÂ® 759F Epoxy - 2X2 Twill Fabric 44%-3KT300-2X2T-199 Reinforced Prepreg,Epoxy + 44% Carbon fiber,Mechanical Properties,Shear Strength,95.1,MPa,13800 psi,,"Interlaminar, Normalized 55% VF",combined_material_data_1.xlsx
