material_name,material_abbreviation,section,property_name,value,unit,english,test_condition,comments,source_file
Nylon 6 Fiber,PA6,Physical Properties,Density,1.13 - 1.14,g/cc,0.0408 - 0.0412 lb/in³,,Average value: 1.14 g/cc Grade Count:10,Fibers_material_data.csv
Nylon 6 Fiber,PA6,Mechanical Properties,"Tensile Strength, Ultimate",558 - 607,MPa,81000 - 88000 psi,,Average value: 578 MPa Grade Count:5,Fibers_material_data.csv
Nylon 6 Fiber,PA6,Mechanical Properties,Elongation at Break,15.0 - 300,%,15.0 - 300 %,,Average value: 42.3 % Grade Count:31,Fibers_material_data.csv
Nylon 6 Fiber,PA6,Mechanical Properties,Elongation at Yield,3.50 - 12.0,%,3.50 - 12.0 %,,Average value: 7.81 % Grade Count:8,Fibers_material_data.csv
Nylon 6 Fiber,PA6,Mechanical Properties,Tenacity,0.265 - 2.56,N/tex,3.00 - 29.0 g/denier,,Average value: 0.723 N/tex Grade Count:25,Fibers_material_data.csv
Nylon 6 Fiber,PA6,Electrical Properties,Electrical Resistivity,4000 - 300000,ohm-cm,4000 - 300000 ohm-cm,,Average value: 176000 ohm-cm Grade Count:8,Fibers_material_data.csv
Nylon 6 Fiber,PA6,Thermal Properties,Melting Point,110 - 220,°C,230 - 428 °F,,Average value: 214 °C Grade Count:19,Fibers_material_data.csv
Nylon 6 Fiber,PA6,Physical Properties,Density,1.13 - 1.14,g/cc,0.0408 - 0.0412 lb/in³,,Average value: 1.14 g/cc Grade Count:10,Fibers_material_data.csv
Nylon 6 Fiber,PA6,Mechanical Properties,"Tensile Strength, Ultimate",558 - 607,MPa,81000 - 88000 psi,,Average value: 578 MPa Grade Count:5,Fibers_material_data.csv
Nylon 6 Fiber,PA6,Mechanical Properties,Elongation at Break,15.0 - 300,%,15.0 - 300 %,,Average value: 42.3 % Grade Count:31,Fibers_material_data.csv
Nylon 6 Fiber,PA6,Mechanical Properties,Elongation at Yield,3.50 - 12.0,%,3.50 - 12.0 %,,Average value: 7.81 % Grade Count:8,Fibers_material_data.csv
Nylon 6 Fiber,PA6,Mechanical Properties,Tenacity,0.265 - 2.56,N/tex,3.00 - 29.0 g/denier,,Average value: 0.723 N/tex Grade Count:25,Fibers_material_data.csv
