material_abbreviation,material_name,section,property_name,value,english,comments,unit,test_condition,source_file
PTFE,"Polytetrafluoroethylene (PTFE), Molded",Physical Properties,Density,0.700 - 3.35,0.0253 - 0.121 lb/in³,Average value: 2.07 g/cc Grade Count:113,g/cc,,Polymers_material_data.csv
PTFE,"Polytetrafluoroethylene (PTFE), Molded",Physical Properties,Water Absorption,0.000 - 0.0100,0.000 - 0.0100 %,Average value: 0.00575% Grade Count:56,%,,Polymers_material_data.csv
PTFE,"Polytetrafluoroethylene (PTFE), Molded",Physical Properties,Particle Size,0.550 - 4450,0.550 - 4450 µm,Average value: 443 µm Grade Count:33,µm,,Polymers_material_data.csv
PTFE,"Polytetrafluoroethylene (PTFE), Molded",Physical Properties,Viscosity,1.00e+13 - 1.00e+15,1.00e+13 - 1.00e+15 cP,Average value: 5.05e+14 cP Grade Count:10,cP,@Temperature 340 - 380 °C,Polymers_material_data.csv
PTFE,"Polytetrafluoroethylene (PTFE), Molded",Physical Properties,Linear Mold Shrinkage,0.0200 - 0.0500,0.0200 - 0.0500 in/in,Average value: 0.0317 cm/cm Grade Count:23,cm/cm,,Polymers_material_data.csv
PTFE,"Polytetrafluoroethylene (PTFE), Molded",Mechanical Properties,"Hardness, Shore D",11.0 - 70.0,11.0 - 70.0,Average value: 57.0 Grade Count:42,,,Polymers_material_data.csv
PTFE,"Polytetrafluoroethylene (PTFE), Molded",Mechanical Properties,Ball Indentation Hardness,23.0 - 37.0,3340 - 5370 psi,Average value: 32.0 MPa Grade Count:9,MPa,,Polymers_material_data.csv
PTFE,"Polytetrafluoroethylene (PTFE), Molded",Mechanical Properties,"Tensile Strength, Ultimate",13.0 - 333,1890 - 48300 psi,Average value: 35.3 MPa Grade Count:63,MPa,,Polymers_material_data.csv
PTFE,"Polytetrafluoroethylene (PTFE), Molded",Mechanical Properties,"Tensile Strength, Yield",0.862 - 41.4,125 - 6000 psi,Average value: 20.5 MPa Grade Count:49,MPa,,Polymers_material_data.csv
PTFE,"Polytetrafluoroethylene (PTFE), Molded",Mechanical Properties,Elongation at Break,70.0 - 650,70.0 - 650 %,Average value: 308% Grade Count:113,%,,Polymers_material_data.csv
PTFE,"Polytetrafluoroethylene (PTFE), Molded",Mechanical Properties,Modulus of Elasticity,0.392 - 0.750,56.9 - 109 ksi,Average value: 0.521 GPa Grade Count:39,GPa,,Polymers_material_data.csv
PTFE,"Polytetrafluoroethylene (PTFE), Molded",Mechanical Properties,Flexural Modulus,0.490 - 0.700,71.1 - 102 ksi,Average value: 0.531 GPa Grade Count:19,GPa,,Polymers_material_data.csv
PTFE,"Polytetrafluoroethylene (PTFE), Molded",Mechanical Properties,Compressive Yield Strength,1.50 - 28.6,218 - 4150 psi,Average value: 9.82 MPa Grade Count:26,MPa,,Polymers_material_data.csv
PTFE,"Polytetrafluoroethylene (PTFE), Molded",Mechanical Properties,Flex Crack Resistance,1.00e+6,1.00e+6,Average value: 1.00e+6 Grade Count:7,,,Polymers_material_data.csv
PTFE,"Polytetrafluoroethylene (PTFE), Molded",Mechanical Properties,Shear Strength,9.30792 - 25.5106,1350.00 - 3700.01 psi,Average value: 15.1 MPa Grade Count:2,MPa,@Temperature 26.7 - 204 °C,Polymers_material_data.csv
PTFE,"Polytetrafluoroethylene (PTFE), Molded",Mechanical Properties,"Izod Impact, Notched",1.30 - 1.87,2.44 - 3.50 ft-lb/in,Average value: 1.65 J/cm Grade Count:14,J/cm,,Polymers_material_data.csv
PTFE,"Polytetrafluoroethylene (PTFE), Molded",Mechanical Properties,"Izod Impact, Unnotched",1.60,3.00 ft-lb/in,Average value: 1.60 J/cm Grade Count:10,J/cm,,Polymers_material_data.csv
PTFE,"Polytetrafluoroethylene (PTFE), Molded",Mechanical Properties,"Charpy Impact, Notched",1.40 - 1.90,6.66 - 9.04 ft-lb/in²,Average value: 1.76 J/cm² Grade Count:5,J/cm²,,Polymers_material_data.csv
PTFE,"Polytetrafluoroethylene (PTFE), Molded",Mechanical Properties,Coefficient of Friction,0.0200 - 0.280,0.0200 - 0.280,Average value: 0.0625 Grade Count:43,,,Polymers_material_data.csv
PTFE,"Polytetrafluoroethylene (PTFE), Molded",Mechanical Properties,"Coefficient of Friction, Static",0.0200 - 0.0800,0.0200 - 0.0800,Average value: 0.0524 Grade Count:25,,,Polymers_material_data.csv
PTFE,"Polytetrafluoroethylene (PTFE), Molded",Mechanical Properties,K (wear) Factor,3.00 - 5040 x 10⁻⁸,1.49 - 2500 x 10⁻¹⁰ in³-min/ft-lb-hr,Average value: 2180 x 10⁻⁸ mm³/N-M Grade Count:6,mm³/N-M,,Polymers_material_data.csv
PTFE,"Polytetrafluoroethylene (PTFE), Molded",Mechanical Properties,"Taber Abrasion, mg/1000 Cycles",5.00 - 41.8,5.00 - 41.8,Average value: 21.5 Grade Count:10,mg,,Polymers_material_data.csv
PTFE,"Polytetrafluoroethylene (PTFE), Molded",Mechanical Properties,Compression Set,3.00 - 20.1,3.00 - 20.1 %,Average value: 11.7% Grade Count:6,%,,Polymers_material_data.csv
PTFE,"Polytetrafluoroethylene (PTFE), Molded",Electrical Properties,Electrical Resistivity,1.00e+14 - 1.10e+18,1.00e+14 - 1.10e+18 ohm-cm,Average value: 8.68e+17 ohm-cm Grade Count:49,ohm-cm,,Polymers_material_data.csv
PTFE,"Polytetrafluoroethylene (PTFE), Molded",Electrical Properties,Surface Resistance,1.00e+13 - 1.00e+18,1.00e+13 - 1.00e+18 ohm,Average value: 4.66e+17 ohm Grade Count:25,ohm,,Polymers_material_data.csv
PTFE,"Polytetrafluoroethylene (PTFE), Molded",Electrical Properties,Dielectric Constant,2.00 - 12.0,2.00 - 12.0,Average value: 2.39 Grade Count:56,,,Polymers_material_data.csv
PTFE,"Polytetrafluoroethylene (PTFE), Molded",Electrical Properties,Dielectric Strength,2.50 - 165,63.5 - 4200 kV/in,Average value: 58.7 kV/mm Grade Count:74,kV/mm,,Polymers_material_data.csv
PTFE,"Polytetrafluoroethylene (PTFE), Molded",Electrical Properties,Dissipation Factor,0.0000100 - 0.0360,0.0000100 - 0.0360,Average value: 0.00119 Grade Count:53,,,Polymers_material_data.csv
PTFE,"Polytetrafluoroethylene (PTFE), Molded",Electrical Properties,Dielectric Loss Index,0.000100,0.000100,Average value: 0.000100 Grade Count:6,,,Polymers_material_data.csv
PTFE,"Polytetrafluoroethylene (PTFE), Molded",Electrical Properties,Arc Resistance,300 - 420,300 - 420 sec,Average value: 346 sec Grade Count:13,sec,,Polymers_material_data.csv
PTFE,"Polytetrafluoroethylene (PTFE), Molded",Electrical Properties,Comparative Tracking Index,600,600 V,Average value: 600 V Grade Count:6,V,,Polymers_material_data.csv
PTFE,"Polytetrafluoroethylene (PTFE), Molded",Thermal Properties,"CTE, linear",14.0 - 250,7.78 - 139 µin/in-°F,Average value: 109 µm/m-°C Grade Count:43,µm/m-°C,,Polymers_material_data.csv
PTFE,"Polytetrafluoroethylene (PTFE), Molded",Thermal Properties,"CTE, linear",57.0 - 170,31.7 - 94.4 µin/in-°F,Average value: 95.7 µm/m-°C Grade Count:9,µm/m-°C,@Temperature 30.0 - 300 °C,Polymers_material_data.csv
PTFE,"Polytetrafluoroethylene (PTFE), Molded",Thermal Properties,Specific Heat Capacity,1.00 - 1.05,0.239 - 0.251 BTU/lb-°F,Average value: 1.01 J/g-°C Grade Count:6,J/g-°C,,Polymers_material_data.csv
PTFE,"Polytetrafluoroethylene (PTFE), Molded",Thermal Properties,Specific Heat Capacity,0.960 - 1.03,0.229 - 0.246 BTU/lb-°F,Average value: 0.995 J/g-°C Grade Count:1,J/g-°C,@Temperature 0.000 - 50.0 °C,Polymers_material_data.csv
PTFE,"Polytetrafluoroethylene (PTFE), Molded",Thermal Properties,Thermal Conductivity,0.230 - 0.500,1.60 - 3.47 BTU-in/hr-ft²-°F,Average value: 0.263 W/m-K Grade Count:34,W/m-K,,Polymers_material_data.csv
PTFE,"Polytetrafluoroethylene (PTFE), Molded",Thermal Properties,Thermal Conductivity,0.220 - 0.320,1.53 - 2.22 BTU-in/hr-ft²-°F,Average value: 0.276 W/m-K Grade Count:7,W/m-K,,Polymers_material_data.csv
PTFE,"Polytetrafluoroethylene (PTFE), Molded",Thermal Properties,Melting Point,135 - 344,275 - 651 °F,Average value: 325 °C Grade Count:57,°C,@Temperature 100 - 250 °C,Polymers_material_data.csv
PTFE,"Polytetrafluoroethylene (PTFE), Molded",Thermal Properties,"Maximum Service Temperature, Air",93.3 - 316,200 - 600 °F,Average value: 259 °C Grade Count:73,°C,,Polymers_material_data.csv
PTFE,"Polytetrafluoroethylene (PTFE), Molded",Thermal Properties,"Minimum Service Temperature, Air",-268 - -200,-450 - -328 °F,Average value: -212 °C Grade Count:23,°C,,Polymers_material_data.csv
PTFE,"Polytetrafluoroethylene (PTFE), Molded",Thermal Properties,"Flammability, UL94",V-0,V-0,Grade Count:58,,,Polymers_material_data.csv
PTFE,"Polytetrafluoroethylene (PTFE), Molded",Thermal Properties,Oxygen Index,92.0 - 95.0,92.0 - 95.0 %,Average value: 94.9% Grade Count:30,%,,Polymers_material_data.csv
PTFE,"Polytetrafluoroethylene (PTFE), Molded",Processing Properties,Processing Temperature,370,698 °F,Average value: 370 °C Grade Count:5,°C,,Polymers_material_data.csv
